GO.ID	Description	setSize	enrichmentScore	NES	pvalue	p.adjust	qvalue	rank	leading_edge	core_enrichment
GO:0002250	adaptive immune response	362	0.586065891274821	1.70075087854303	1e-10	6.31222222222222e-08	5.67602339181287e-08	2231	tags=35%, list=16%, signal=30%	11687/224840/11628/16159/218624/12169/18106/239739/58205/13482/13137/14128/244202/12458/208154/243958/240754/12478/12518/12902/12484/245126/12775/22339/13136/72049/16842/15978/16963/20400/16174/16797/16428/12526/15985/16992/21947/12500/56708/22165/12525/77647/14939/30925/54390/67664/12501/12258/78473/27007/50908/26904/12516/12326/12772/225825/12502/22637/210757/12266/67742/60533/54698/18646/16197/74732/27218/11891/14462/15024/54215/17999/17131/22164/12503/16161/64435/20737/57765/17101/18762/240354/50931/13813/15007/15019/110557/83964/18566/12014/17474/70450/77727/94212/54123/16177/12487/101540/16904/15013/11596/246779/68279/246177/18987/56532/16183/192656/14102/12505/19229/19264/432763/15018/110558/22256/94185/14347/12053/16952/17085/18761/16182/238875/22724/74131/545645
GO:0002683	negative regulation of immune system process	390	0.580171124068683	1.68581564752334	1e-10	6.31222222222222e-08	5.67602339181287e-08	2308	tags=35%, list=17%, signal=30%	11687/11600/93695/21946/18795/70809/58205/13482/16365/242202/14191/208154/243958/329693/21825/240754/12484/245126/67122/229323/12483/15930/27278/209558/15001/11540/108995/14357/12143/12765/14634/110168/15978/100041230/243655/20682/16963/20400/26365/328795/22364/69376/246746/100043314/20377/83554/239114/93675/15002/12258/26904/17470/12772/57757/13011/80782/20555/21838/319159/67742/60533/54698/16197/14525/27218/14118/208650/54215/17131/22164/193385/14714/84544/434215/20737/57765/12825/50931/22350/319155/18566/118453/17965/19401/11815/19016/94212/17536/12608/319161/56792/21808/18600/22163/15354/16854/74511/15205/15227/16835/56045/12159/16183/19260/16184/574402/27027/14102/12505/77772/12802/19229/434341/20085/319160/224647/19264/15902/320332/225913/319158/97122/94185/12053/16952/50794/237256/22724/229473/269023/21809/69386/12493/23991/238377
GO:0002694	regulation of leukocyte activation	478	0.570218597894772	1.65904837262412	1e-10	6.31222222222222e-08	5.67602339181287e-08	2258	tags=33%, list=16%, signal=29%	68891/751864/16159/93695/18106/21946/100038947/381484/58205/106763/668101/13482/17394/320832/242202/14191/208154/243958/21825/16408/240754/12478/12484/245126/12775/67122/12483/15930/27278/22780/209558/15001/11540/67596/72049/69816/16842/108995/14357/12143/14634/234695/252838/15978/16963/21940/16797/21414/26365/21947/17974/108723/246746/16818/56708/100043314/20377/11501/66725/12511/93675/54390/12501/20304/27007/17470/12772/225825/57757/22637/13011/14063/378460/20555/21838/67742/60533/54698/20698/16197/27218/208650/14462/17863/50930/54215/17131/22164/193385/14714/16161/434215/20737/57765/12507/17101/18762/240354/50931/16186/17387/19369/17474/70450/19401/19016/94212/109594/12608/12487/13642/56792/227753/11596/22163/15354/16803/16854/15205/15227/16835/21417/246779/11542/170786/320484/54167/56532/12159/16183/192656/16169/19260/16184/27027/14102/12505/12802/12043/19419/19264/18124/12389/15902/11541/94185/20668/14087/12053/13024/16952/18761/19354/237256/22724/229473/74131/269023/12721/16414
GO:0007159	leukocyte cell-cell adhesion	299	0.63940247976912	1.83853995713128	1e-10	6.31222222222222e-08	5.67602339181287e-08	2258	tags=39%, list=16%, signal=33%	68891/751864/16159/93695/18106/108078/100038947/381484/58205/668101/13482/320832/242202/208154/20343/20339/16408/240754/12484/245126/12775/67122/15930/16421/11540/67596/72049/16842/14357/14634/234695/15978/23959/16963/18613/21940/11898/26365/21947/17974/108723/16818/100043314/11501/20344/12511/12501/20304/78473/12772/22637/23871/20555/21838/20202/60533/54698/16197/27218/208650/20201/14462/17863/50930/54215/17131/22164/20354/193385/14714/16161/434215/16401/20737/57765/12507/16728/18762/240354/50931/16186/19401/94212/12608/12487/67374/13642/11596/16854/15205/320484/54167/20868/12159/16183/192656/19260/16184/12505/19419/19264/18124/12389/94185/20668/14347/12053/16952/18761/19354/237256/22724/229473/74131/269023/12721/16414
GO:0022407	regulation of cell-cell adhesion	364	0.588692329364478	1.70820457761242	1e-10	6.31222222222222e-08	5.67602339181287e-08	2258	tags=35%, list=16%, signal=30%	751864/11687/16159/93695/18106/14538/100038947/381484/58205/668101/13482/320832/242202/208154/20339/16408/240754/17075/12484/245126/12775/67122/20733/22339/15930/11540/67596/72049/16842/14357/12143/14634/234695/15978/16963/21940/12550/11898/14726/26365/21947/22417/17974/108723/18793/16818/100043314/11501/83554/20344/12511/12501/20304/78473/12772/22637/23871/20555/21838/60533/54698/66214/16197/20720/27218/208650/14462/17863/50930/67916/54215/17131/22164/193385/14714/16161/434215/16401/20737/57765/12507/16728/18762/240354/50931/70417/16186/19401/76365/94212/12608/12487/16181/13642/17196/11596/16854/15205/320484/54167/12159/16183/12527/192656/19260/16184/12161/12505/18132/19419/19264/18124/12389/94185/20668/14347/12053/16952/18761/237256/22724/229473/74131/269023/12721/16414
GO:0042110	T cell activation	440	0.589115724781041	1.71331926180111	1e-10	6.31222222222222e-08	5.67602339181287e-08	2294	tags=36%, list=17%, signal=31%	751864/16159/93695/18106/100038947/114570/381484/58205/668101/13482/14025/320832/242202/12458/208154/328833/12393/16408/240754/56619/12484/245126/12775/67122/15930/209488/15001/11540/67596/72049/16842/14357/14634/110168/234695/252838/15978/12481/16963/381924/20230/21940/16797/16205/16428/21414/26365/21947/22417/12500/58208/17974/108723/16818/22165/100043314/11501/12525/30925/12511/93675/54390/21949/270152/12501/20304/12772/12502/22637/14063/210757/20555/21838/60533/54698/16197/74732/27218/208650/11891/14462/17863/50930/58206/54215/17999/17131/22164/193385/14714/12769/16161/13052/434215/20737/57765/12507/18762/240354/50931/13813/16186/12047/17474/19401/94212/109594/12608/12487/13642/227753/11596/22163/16854/15205/21417/246779/170786/320484/54167/56532/12159/16183/12767/192656/19260/16184/14102/12505/18021/51797/12043/19419/19264/16847/12389/94185/20668/14347/14087/12053/13024/16952/17085/18761/19354/12445/16182/237256/22724/229473/74131/269023/545645/12721/54519/16414/14360/58185
GO:0050863	regulation of T cell activation	286	0.61942480995424	1.77935589570749	1e-10	6.31222222222222e-08	5.67602339181287e-08	2245	tags=38%, list=16%, signal=33%	751864/16159/93695/18106/100038947/381484/58205/668101/13482/320832/242202/208154/16408/240754/12484/245126/12775/67122/15930/15001/11540/67596/72049/16842/14357/14634/234695/252838/15978/16963/21940/16797/21414/26365/21947/17974/108723/16818/100043314/11501/12511/93675/54390/12501/20304/12772/22637/20555/21838/60533/54698/16197/27218/208650/14462/17863/50930/54215/17131/22164/193385/14714/16161/434215/20737/57765/12507/18762/240354/50931/16186/19401/94212/109594/12608/12487/13642/227753/11596/16854/15205/21417/246779/170786/320484/54167/56532/12159/16183/192656/19260/16184/12505/19419/19264/12389/94185/20668/14087/12053/13024/16952/18761/19354/237256/22724/229473/74131/269023/12721
GO:0051249	regulation of lymphocyte activation	395	0.600331092571967	1.74489504177823	1e-10	6.31222222222222e-08	5.67602339181287e-08	2245	tags=34%, list=16%, signal=29%	751864/16159/93695/18106/21946/100038947/381484/58205/668101/13482/320832/242202/14191/208154/243958/16408/240754/12478/12484/245126/12775/67122/12483/15930/27278/22780/15001/11540/67596/72049/69816/16842/108995/14357/12143/14634/234695/252838/15978/16963/21940/16797/21414/26365/21947/17974/108723/16818/56708/100043314/20377/11501/12511/93675/54390/12501/20304/12772/57757/22637/20555/21838/67742/60533/54698/16197/27218/208650/14462/17863/50930/54215/17131/22164/193385/14714/16161/434215/20737/57765/12507/17101/18762/240354/50931/16186/17387/19369/19401/94212/109594/12608/12487/13642/227753/11596/22163/15354/16854/15205/21417/246779/170786/320484/54167/56532/12159/16183/192656/16169/19260/16184/14102/12505/12043/19419/19264/12389/15902/94185/20668/14087/12053/13024/16952/18761/19354/237256/22724/229473/74131/269023/12721
GO:1903037	regulation of leukocyte cell-cell adhesion	272	0.623903449036077	1.78960122010437	1e-10	6.31222222222222e-08	5.67602339181287e-08	2258	tags=38%, list=16%, signal=33%	751864/16159/93695/18106/100038947/381484/58205/668101/13482/320832/242202/208154/20339/16408/240754/12484/245126/12775/67122/15930/11540/67596/72049/16842/14357/14634/234695/15978/16963/21940/11898/26365/21947/17974/108723/16818/100043314/11501/20344/12511/12501/20304/78473/12772/22637/23871/20555/21838/60533/54698/16197/27218/208650/14462/17863/50930/54215/17131/22164/193385/14714/16161/434215/16401/20737/57765/12507/18762/240354/50931/16186/19401/94212/12608/12487/13642/11596/16854/15205/320484/54167/12159/16183/192656/19260/16184/12505/19419/19264/18124/12389/94185/20668/14347/12053/16952/18761/237256/22724/229473/74131/269023/12721/16414
GO:0002521	leukocyte differentiation	482	0.547265441759331	1.59278344064218	7.01184159987476e-10	3.98342721288885e-07	3.58194392465181e-07	2237	tags=30%, list=16%, signal=26%	12557/16159/110794/21946/14460/18795/70809/14025/12458/12393/18985/12478/12518/56619/12902/12484/12775/12349/67122/272382/22339/22780/15001/67596/17068/16842/12482/14357/16416/54672/12143/14634/110168/234695/252838/15978/20230/21940/16205/16428/21414/15985/26365/21947/22417/12500/58208/108723/246746/16818/56708/22165/20377/11501/12525/83554/30925/93675/70747/21949/12501/20304/19152/12326/12772/12502/57757/22637/14063/210757/54698/74614/16197/27218/14118/14462/17863/75766/17131/22164/57816/12769/20737/57765/19659/18762/240354/14582/237339/13813/16186/69656/12047/17387/17474/19401/77727/19016/234836/12608/12487/14734/11596/16878/12977/15354/56233/74511/235505/21417/246779/18987/56532/12159/16183/192656/16169/19260/16184/16431/12306/14102/12505/18021/12043/19229/19419/19264/16847/15902/20130/20668/14347/14087/12053/13024/16952/17085/16182/22724/216984/229473/74131/269023/545645/234779
