GO.ID	Description	setSize	enrichmentScore	NES	pvalue	p.adjust	qvalue	rank	leading_edge	core_enrichment
GO:0006364	rRNA processing	203	0.497775445235559	2.09512661587785	1e-10	1.1628e-07	1.05473684210526e-07	5154	tags=70%, list=35%, signal=46%	107094/217995/72462/59014/217109/217431/320790/98956/69902/67973/21771/56200/52530/72171/12181/70683/68147/100019/67223/18813/27966/67239/104662/67842/69072/73674/72515/17089/110109/14113/56095/67936/110816/57750/207932/100503670/57315/271842/69237/67949/71990/20104/66409/230082/74097/245474/223499/66878/20115/66942/20055/67920/66362/53414/17975/105372/20116/16418/107071/208366/213895/216987/228889/234344/70930/67115/67493/27176/77591/66583/67619/208144/68533/213773/215194/216156/64934/18148/74778/66138/72344/72662/52513/67222/68979/66489/66254/70285/50911/20085/214627/19941/69663/74035/73736/19942/67459/57808/52705/20826/18150/14791/227522/57316/69713/59028/15278/67276/27993/94061/27998/108707/234374/72544/72554/66161/20088/18572/59050/67025/67045/71340/78796/19896/66467/66446/75416/75422/18114/269470/20227/66229/101122/67994/20044/72198/65961/20054/229937/68966/117599/20068/13871
GO:0016072	rRNA metabolic process	210	0.493623023883134	2.05360178260482	1e-10	1.1628e-07	1.05473684210526e-07	5154	tags=70%, list=35%, signal=46%	107094/217995/72462/59014/217109/217431/320790/98956/69902/67973/21771/56200/52530/72171/12181/70683/68147/100019/67223/18813/27966/67239/104662/67842/69072/73674/72515/17089/110109/14113/56095/67936/110816/57750/207932/100503670/57315/271842/69237/67949/71990/20104/66409/230082/74097/245474/223499/66878/20115/66942/20055/67920/66362/53414/17975/105372/20116/16418/107071/208366/213895/216987/228889/234344/70930/67115/67493/27176/77591/66583/67619/208144/68533/213773/215194/216156/64934/18148/74778/66138/72344/72662/52513/67222/68979/66489/66254/70285/50911/20085/214627/19941/69663/74035/73736/19942/67459/105083/57808/52705/20826/18150/14791/227522/57316/69713/59028/15278/67276/14000/27993/94061/27998/108707/213550/234374/72544/72554/66161/20088/18572/59050/67025/67045/71340/78796/19896/66467/66446/75416/75422/18114/269470/20227/66229/101122/67994/20044/72198/65961/20054/229937/68966/117599/20068/13871
GO:0022613	ribonucleoprotein complex biogenesis	398	0.444567316103613	1.89926586085451	1e-10	1.1628e-07	1.05473684210526e-07	4447	tags=57%, list=31%, signal=40%	107094/217995/72462/59014/217109/217431/26905/24015/320790/98956/382038/69902/78688/67973/75751/21771/56200/20595/217011/19384/27275/353258/18432/52530/72171/12181/70683/55989/433702/68147/100019/67223/18813/100608/27966/67204/67239/104662/67842/12261/108143/69072/73674/216766/71986/234549/231452/218629/28126/72515/19988/17089/68083/110109/14113/66448/56095/20174/235036/106298/16898/20901/20641/16785/67014/67936/110816/237107/57750/207932/100503670/57315/271842/69237/67941/67949/214572/71990/57905/68988/20104/66409/67996/230082/74097/245474/269261/223499/66878/20115/67832/110809/66942/20055/27374/67920/75619/66362/53414/17975/105372/20116/103573/16418/110954/118451/107071/57741/208366/213895/28035/20643/216987/228889/103136/56505/66164/234344/70930/67115/13669/67493/27176/229504/77591/66583/67619/208144/68193/68533/213773/94066/215194/15519/56351/19656/216156/227674/64934/18148/74778/50529/225215/66138/14105/72344/67134/72662/67097/52513/67222/20103/68979/239528/66489/66254/11837/70285/50911/20085/214627/99375/19941/21357/27367/217869/69663/12729/67671/74035/73736/69241/19942/67459/57808/52705/20826/68219/214498/18150/14791/227522/72831/57316/69713/59028/70767/15278/55944/71952/22384/67276/216767/69878/224092/67465/14000/68011/27993/94061/56321/230737/27998/432508/108707/72584/15516/66877/19069/234374/72544/72554/20815/22258/75062/107686/66161/320632/68995/75705/20088/18572/59050/67025/67045
GO:0034470	ncRNA processing	349	0.418375595287098	1.80451700165237	1e-10	1.1628e-07	1.05473684210526e-07	5154	tags=59%, list=35%, signal=39%	107094/217995/72462/59014/67724/217109/217431/70422/320790/17299/98956/69902/78697/67973/21771/56200/52530/72171/12181/70683/28114/66965/68147/100019/67223/18813/328162/27966/67239/104662/67842/69072/100087/73674/72515/57773/17089/110109/14113/56095/56361/234734/72656/76265/67936/110816/53379/57750/207932/100503670/57315/78890/68626/271842/69237/67949/71990/20104/20848/66409/230082/74097/245474/223499/77065/66878/20115/66942/20055/67920/66362/53414/17975/105372/20116/16418/74467/107071/208366/213895/216987/228889/66369/69372/234344/70930/67115/60507/67493/27176/77591/66583/67619/208144/100113398/68533/213773/215194/216156/64934/18148/101985/74778/70885/433813/231413/66138/72344/72662/212728/52513/67222/68979/105638/54351/18130/239528/66489/66254/233802/70285/52686/50911/20085/214627/76357/20823/19941/21357/71957/69663/69882/68857/66132/83701/74035/73736/19942/67459/57808/68045/52705/20826/70153/18150/14791/227522/68736/57316/69713/59028/15278/108943/67276/14000/27993/94061/27998/108707/234374/72544/72554/104721/66161/210106/52575/20088/18572/59050/67025/68730/67045/101861/71340/78796/109077/19896/77766/66628/58523/66467/66446/75416/75422/18114/269470/20227/66381/66229/101122/67994/69955/69163/20044/72198/65961/67005/20054/229937/13434/68966/117599/224805/20068/73681/13871
GO:0042254	ribosome biogenesis	289	0.502465007482501	2.14393941573334	1e-10	1.1628e-07	1.05473684210526e-07	4178	tags=59%, list=29%, signal=43%	107094/217995/72462/59014/217109/217431/24015/320790/98956/382038/69902/67973/75751/21771/56200/217011/19384/353258/18432/52530/72171/12181/70683/55989/68147/100019/67223/18813/100608/27966/67239/104662/67842/12261/69072/73674/71986/234549/231452/218629/28126/72515/19988/17089/68083/110109/14113/66448/56095/235036/106298/16898/16785/67014/67936/110816/237107/57750/207932/100503670/57315/271842/69237/67941/67949/71990/20104/66409/230082/74097/245474/269261/223499/66878/20115/67832/66942/20055/67920/75619/66362/53414/17975/105372/20116/103573/16418/110954/118451/107071/57741/208366/213895/216987/228889/103136/66164/234344/70930/67115/67493/27176/229504/77591/66583/67619/208144/68193/68533/213773/94066/215194/216156/227674/64934/18148/74778/50529/225215/66138/72344/67134/72662/67097/52513/67222/20103/68979/66489/66254/11837/70285/50911/20085/214627/99375/19941/27367/69663/67671/74035/73736/19942/67459/57808/52705/20826/18150/14791/227522/72831/57316/69713/59028/15278/71952/67276/216767/224092/14000/27993/94061/56321/230737/27998/108707/72584/19069/234374/72544/72554
GO:0034660	ncRNA metabolic process	424	0.365072226187795	1.60120787751653	9.5485650562871e-09	9.2525595395422e-06	8.39268612842076e-06	4178	tags=46%, list=29%, signal=34%	57746/107094/217995/330890/72462/59014/67724/217109/217431/104458/70422/320790/17299/98956/69902/78697/67973/21771/56200/52530/72171/12181/70683/28114/66965/56463/23874/68147/100019/67223/18813/328162/27966/67239/104662/67842/69072/100087/73674/76563/109093/71701/72515/57773/17089/110109/14113/56095/66590/56361/234734/72656/67417/76265/67936/110816/53379/57750/207932/100503670/57315/78890/68626/110960/271842/69237/67949/71990/20104/20848/66409/15461/230082/105148/74097/245474/223499/77065/66878/20115/226414/353172/66942/20055/67920/22375/66362/53414/17975/105372/20116/194908/16418/212679/74467/107071/208366/213895/102436/216987/228889/66369/69372/234344/70930/67115/60507/15115/67493/27176/85305/77591/71807/66583/67619/208144/100113398/68533/213773/215194/216156/216443/64934/18148/101985/74778/70885/433813/231413/66138/72344/22321/72662/212728/52513/67222/107508/68979/105638/54351/18130/71984/239528/66489/66254/233802/70285/52686/50911/20085/244141/97541/214627/76357/20823/19941/21357/71957/107271/69663/20226/69882/68857/66132/83701/74035/73736/19942/67459/105083/57808/68045/52705/20826/70153/18150/14791/227522/68736/57316/69713/59028/15278/108943/67276/14000/27993/107045/16549/94061/27998/230738/108707/213550/234374/72544/72554
GO:0042273	ribosomal large subunit biogenesis	71	0.626794241194654	2.28222054801181	6.35911652239085e-08	5.28170049445434e-05	4.79085319957566e-05	3829	tags=73%, list=26%, signal=54%	59014/69902/217011/52530/12181/100019/67223/67239/69072/71986/234549/231452/28126/19988/68083/110109/66448/56095/235036/57750/207932/100503670/69237/67949/66409/269261/67832/66942/67920/75619/16418/110954/107071/57741/66164/67115/27176/68193/64934/18148/225215/66489/11837/70285/19941/27367/67671/74035/67459/57808/20826/72831
GO:0045123	cellular extravasation	64	0.593306078446075	2.11164150769946	3.58740414668722e-06	0.00260714596360494	0.00236485457564513	1202	tags=41%, list=8%, signal=37%	11501/68891/58217/18795/58218/50701/19152/109700/12772/56532/16421/20296/20339/84094/16175/16408/20344/20343/16409/16414/16177/270152/14537/17242/109934/110279
GO:0006221	pyrimidine nucleotide biosynthetic process	21	0.77846748730999	2.1968254536148	6.76282302515952e-06	0.00436878367425305	0.00396277700070751	1417	tags=48%, list=10%, signal=43%	80914/320685/51797/331487/22247/18102/69719/20425/18103/66588
GO:0002237	response to molecule of bacterial origin	251	0.371415235997271	1.59257235954068	8.59157390216506e-06	0.00499514106671876	0.00453092476314178	1575	tags=24%, list=11%, signal=21%	330122/19368/19369/66107/20311/11628/12457/19370/20568/50701/12484/16365/19225/57349/13035/19217/56066/20296/414084/19222/16175/11421/22259/17002/238871/12608/58205/17319/436440/22352/215257/22038/11433/216161/107765/17130/22164/20617/171285/15945/16803/216799/74337/109934/16410/20310/110279/60533/21897/217304/234779/20778/66824/16153/56722/17874/102626/18786/19401
