GO.ID	Description	setSize	enrichmentScore	NES	pvalue	p.adjust	qvalue	rank	leading_edge	core_enrichment
GO:0001525	angiogenesis	382	-0.49778573841649	-2.30062017766433	1e-10	5.276e-08	4.57789473684211e-08	1387	tags=30%, list=12%, signal=27%	57257/21687/93759/18654/22379/15901/27494/16410/76457/12389/26427/15370/237038/67122/13731/20317/74838/12273/19225/12306/192176/18127/353156/16854/14268/19229/20698/16952/17975/15200/11504/16175/12562/223864/16414/243362/74769/12490/18015/11421/14257/22341/29876/14461/72469/107702/16878/18595/16402/16153/13636/20620/53614/27279/12554/78560/20315/381290/19263/16542/52679/121021/21926/57342/240725/11601/54598/21846/11501/69601/12822/68792/16600/68545/24064/14219/12491/18710/18131/319197/17286/74144/20672/14066/20296/20692/20293/107449/66214/68169/15945/16416/12827/105450/69903/15530/11535/20312/18596/18132/16411/18792/14254/54485/12826/226841/19016/84004/12837/12819/13874/23796/20319/26360/26903
GO:0006364	rRNA processing	201	-0.577531746734975	-2.51878513899	1e-10	5.276e-08	4.57789473684211e-08	2112	tags=46%, list=18%, signal=38%	78796/20826/66580/72462/71990/215194/72554/69663/53414/20104/52530/269470/227715/66583/75416/67936/18148/20115/52705/66254/77591/68533/217995/214627/71340/229937/67239/64934/14113/16418/57315/208144/100503670/225348/67920/68979/72662/67949/67459/100019/107071/74035/195434/59028/72171/230082/57750/105372/213895/100609/67222/57444/228889/76130/52513/213773/18813/216987/67493/66409/67619/66942/17975/69237/18572/67973/217109/12181/69072/17089/70930/69902/59014/320790/67223/68147/21771/27966/110109/56200/104662/271842/73674/56095/245474/217431/207932/72515/98956/110816/70683/107094
GO:0016072	rRNA metabolic process	208	-0.563428928948806	-2.46654256423466	1e-10	5.276e-08	4.57789473684211e-08	2879	tags=52%, list=24%, signal=40%	68966/50911/75422/67842/67390/105083/18150/66362/66878/27993/14791/74778/50912/234344/72344/223499/276950/78796/20826/66580/72462/71990/215194/72554/69663/53414/20104/52530/269470/227715/66583/75416/67936/18148/20115/52705/66254/77591/68533/217995/214627/71340/229937/67239/64934/14113/16418/57315/208144/100503670/225348/67920/68979/72662/67949/67459/100019/107071/74035/195434/59028/72171/230082/57750/105372/213895/100609/67222/57444/228889/76130/52513/213773/18813/216987/67493/66409/67619/66942/17975/69237/18572/67973/217109/12181/69072/17089/70930/69902/59014/320790/67223/68147/21771/27966/110109/56200/104662/271842/73674/56095/245474/217431/207932/72515/98956/110816/70683/107094
GO:0022613	ribonucleoprotein complex biogenesis	391	-0.52926297453063	-2.45211867921941	1e-10	5.276e-08	4.57789473684211e-08	3450	tags=55%, list=29%, signal=40%	69241/227522/57837/239528/27367/21357/12812/224481/11837/234374/72544/214498/103573/20638/15278/71986/192119/27275/67115/28035/108143/72198/101867/22184/20935/22258/70285/56417/245000/68966/68988/50911/20595/75422/433864/67842/67390/57905/75062/110809/18150/229504/68295/66362/22384/66878/27993/14791/74778/224092/269261/101739/229317/50912/56351/234344/20174/72344/50529/223499/103136/20641/14105/72831/225215/70767/78796/15516/20826/13669/66580/72462/20901/68083/71990/13046/320632/237221/215194/72554/69663/12607/68184/53414/56505/20104/52530/67465/19988/19656/269470/227715/66583/218629/75416/71952/67936/18148/20115/52705/66254/77591/26905/67996/68533/67014/217995/66164/67204/214627/71340/227674/237107/229937/67239/100608/64934/14113/16418/57315/208144/231452/55944/100503670/28000/225348/276919/67920/216766/68979/67242/230737/72662/67949/56321/433702/67459/27374/226432/100019/107071/19384/74035/195434/57741/12261/59028/28126/72171/230082/57750/105372/213895/100609/67222/57444/228889/75619/76130/52513/213773/18813/97112/67832/216987/75751/67493/66409/106298/67619/66942/17975/69237/18572/15519/353258/67973/217109/12181/69072/217869/17089/234549/70930/69902/59014/320790/67223/68147/235036/21771/27966/110109/56200/24015/104662/271842/73674/56095/245474/214572/217431/207932/72515/18432/98956/67134/217011/55989/110816/382038/66405/70683/107094
GO:0030198	extracellular matrix organization	180	-0.53992874393198	-2.31021479258533	1e-10	5.276e-08	4.57789473684211e-08	1246	tags=33%, list=11%, signal=30%	21810/12389/26427/20732/237038/12842/58994/12306/11352/16854/14268/72043/11504/12390/67896/18015/18858/208177/11568/71602/14115/12843/14726/18595/11787/16777/53614/12406/21926/69675/240725/12822/240047/21407/14086/14219/241226/399558/53867/66214/68169/12831/16416/12827/15530/216725/12832/12825/12826/16949/17381/17386/246228/12837/18073/12819/240913/20319/50706
GO:0034470	ncRNA processing	347	-0.479828724895558	-2.18580401729786	1e-10	5.276e-08	4.57789473684211e-08	2554	tags=41%, list=22%, signal=33%	66878/94223/27993/14791/76265/74778/18130/54351/381802/50912/234344/72344/223499/70153/211064/70044/108943/78796/20826/74467/72656/66580/72462/13434/71957/71990/433813/66926/77766/227682/66369/215194/72554/69663/53414/74753/70885/20104/52530/269470/227715/66583/75416/67936/18148/20115/52705/66254/77591/68533/217995/233802/214627/71340/229937/67239/234734/64934/14113/16418/212528/57315/104721/208144/100503670/70422/225348/67920/56361/68979/72662/67949/67459/100019/66965/107071/74035/52575/195434/59028/52686/72171/230082/57750/105372/213895/100609/67222/57444/210106/228889/76130/52513/68626/100087/213773/18813/216987/67493/66409/60507/67619/68857/66942/17975/69237/18572/67973/212728/217109/12181/69072/17089/57773/70930/69902/59014/320790/67223/28114/68147/21771/27966/110109/67724/56200/104662/271842/73674/56095/245474/17299/217431/207932/72515/98956/110816/78697/328162/70683/107094
GO:0034660	ncRNA metabolic process	413	-0.464349479955458	-2.16465115091182	1e-10	5.276e-08	4.57789473684211e-08	2554	tags=44%, list=22%, signal=36%	70285/56417/69372/22375/66590/68966/28088/381314/50911/75422/28036/67842/67390/105083/15461/18150/76563/66362/66878/94223/27993/14791/56463/76265/74778/18130/54351/381802/50912/234344/72344/223499/70153/211064/107508/276950/70044/15115/27267/108943/230738/78796/226414/20826/74467/72656/66580/72462/13434/71957/71990/433813/66926/77766/227682/66369/215194/72554/69663/53414/74753/70885/20104/52530/70120/269470/23874/227715/66583/75416/67936/18148/20115/52705/66254/77591/68533/217995/71701/233802/214627/71340/229937/67239/85305/234734/64934/14113/230577/16418/212528/57315/104721/208144/100503670/70422/225348/107045/67920/56361/68979/244141/72662/67949/104458/67459/100019/66965/107071/74035/52575/195434/22321/59028/52686/72171/216443/230082/105148/212679/353172/57750/67417/105372/107271/213895/110960/100609/67222/57444/210106/228889/76130/52513/68626/100087/213773/18813/216987/67493/66409/60507/67619/68857/66942/17975/69237/18572/67973/212728/217109/12181/69072/17089/57773/70930/69902/59014/320790/67223/28114/68147/21771/27966/110109/67724/56200/104662/271842/73674/56095/245474/17299/217431/207932/72515/98956/110816/78697/328162/70683/57746/107094
GO:0042254	ribosome biogenesis	286	-0.566089500526068	-2.54280219830477	1e-10	5.276e-08	4.57789473684211e-08	2554	tags=49%, list=22%, signal=39%	66878/27993/14791/74778/224092/269261/229317/50912/234344/72344/50529/223499/103136/72831/225215/78796/20826/66580/72462/68083/71990/215194/72554/69663/12607/53414/20104/52530/19988/269470/227715/66583/218629/75416/71952/67936/18148/20115/52705/66254/77591/68533/67014/217995/66164/214627/71340/227674/237107/229937/67239/100608/64934/14113/16418/57315/208144/231452/100503670/225348/67920/68979/230737/72662/67949/56321/67459/226432/100019/107071/19384/74035/195434/57741/12261/59028/28126/72171/230082/57750/105372/213895/100609/67222/57444/228889/75619/76130/52513/213773/18813/97112/67832/216987/75751/67493/66409/106298/67619/66942/17975/69237/18572/353258/67973/217109/12181/69072/17089/234549/70930/69902/59014/320790/67223/68147/235036/21771/27966/110109/56200/24015/104662/271842/73674/56095/245474/217431/207932/72515/18432/98956/67134/217011/55989/110816/382038/70683/107094
GO:0043062	extracellular structure organization	181	-0.539532439944609	-2.30483243257611	1e-10	5.276e-08	4.57789473684211e-08	1246	tags=33%, list=11%, signal=30%	21810/12389/26427/20732/237038/12842/58994/12306/11352/16854/14268/72043/11504/12390/67896/18015/18858/208177/11568/71602/14115/12843/14726/18595/11787/16777/53614/12406/21926/69675/240725/12822/240047/21407/14086/14219/241226/399558/53867/66214/68169/12831/16416/12827/15530/216725/12832/12825/12826/16949/17381/17386/246228/12837/18073/12819/240913/20319/50706
GO:0048514	blood vessel morphogenesis	451	-0.467646782073644	-2.20807824343073	1e-10	5.276e-08	4.57789473684211e-08	1455	tags=28%, list=12%, signal=26%	16835/381823/17886/57257/21687/93759/18654/22379/15901/27494/16410/76457/12389/26427/15370/237038/18591/67122/17999/13731/20317/74838/12273/19225/12306/192176/18127/353156/16854/14268/19229/20698/16952/17975/15200/11504/16175/12562/17131/223864/16414/243362/74769/12490/18015/11421/14257/22341/320790/71602/29876/14461/72469/107702/16878/18595/16402/16153/14235/13636/20620/53614/27279/12554/78560/20315/381290/19263/16542/22417/52679/121021/21926/57342/240725/11601/16449/54598/21846/11501/69601/12822/68792/16600/68545/24064/14219/12491/18710/18131/319197/17286/74144/20672/14066/20296/20692/20293/107449/66214/68169/15945/16416/15213/12827/105450/69903/15530/11535/20312/18596/18132/16411/18792/14254/54485/12825/12826/226841/19016/84004/12837/12819/13874/23796/20319/26360/26903
