GO.ID	Description	setSize	enrichmentScore	NES	pvalue	p.adjust	qvalue	rank	leading_edge	core_enrichment
GO:0002250	adaptive immune response	360	0.594819576310134	1.60686634393776	1e-10	5.639e-07	5.23052631578947e-07	2133	tags=30%, list=15%, signal=26%	78473/14128/12478/12458/72049/12902/16428/12518/12326/15978/12501/16963/12775/20400/54390/16797/14939/21947/12526/13136/210757/240754/12502/14990/18646/13813/16842/77647/243958/12500/16992/18761/16182/21935/13137/12525/22637/14462/16159/22165/208154/64435/57765/15985/239739/12258/225825/75863/18762/50908/12504/17082/16364/27007/77727/15019/110557/11687/24099/54215/240873/12263/27218/14969/20737/54698/13482/19885/218624/12516/16904/12487/14960/14961/18566/12503/12520/224840/16149/15007/67664/101540/50931/12169/17999/58205/16183/83964/15024/13731/18987/17260/667977/17221/15018/110558/16768/16161/13848/12268/16189/30925/16362/243910/19883/17175/229603/321019/545645
GO:0030098	lymphocyte differentiation	337	0.586273860215632	1.58280241725099	3.09140358255694e-10	6.25494068623959e-07	5.80184994911837e-07	2264	tags=29%, list=16%, signal=25%	12478/12458/18782/252838/12902/16428/12518/15978/12501/12775/12557/18985/21947/17068/22780/16818/210757/12502/12482/67596/13813/16205/16842/21414/14357/12500/58208/16182/15001/12525/22637/14462/16159/21940/22165/234695/14012/14370/12578/57757/57765/15985/21946/20230/67122/110168/18762/12504/16364/14025/77727/14634/240873/27218/20737/54698/19885/13655/235320/12487/21417/16184/14960/20377/108723/14961/16847/21949/17863/100038862/16149/16431/30936/20668/12769/16183/12522/12043/18987/13866/17221/13024/16768/17305/16189/30925/16362/243910/19883/14456/12159/321019/545645/14256/108655/14347/13653
GO:0042110	T cell activation	442	0.558473947173035	1.51026333626358	3.3276861249723e-10	6.25494068623959e-07	5.80184994911837e-07	2133	tags=28%, list=15%, signal=25%	12458/18782/252838/72049/16428/15978/12501/16963/12775/54390/16797/21947/12511/16818/210757/240754/12502/170780/67596/14063/13813/16205/16842/21838/21414/14357/20304/12500/18761/58208/16182/100043314/15001/278180/114570/12525/22637/243864/14462/16159/71228/21940/22165/208154/234695/14012/14370/12507/12578/57765/54167/20230/67122/110168/75863/18762/15205/12504/16364/14025/14634/24099/54215/240873/209488/170786/27218/12481/20737/381924/54698/13482/19885/13655/235320/12487/21417/16184/14960/108723/14961/16000/16847/21949/12520/17863/100038862/13643/22163/16149/14714/20315/30936/20668/12769/50931/17999/58205/547431/16183/12522/12043/193385/13866/17221/16408/13024/16768/109594/93675/16161/26365/13848/58206/16189/434215/30925/15930/50498/16362/243910/19883/12159/321019/545645
GO:0002521	leukocyte differentiation	487	0.535748220072004	1.44908578041799	1.90805001250982e-08	2.16487507830421e-05	2.00805746896027e-05	2269	tags=27%, list=16%, signal=23%	12478/12458/18782/252838/12902/12143/16428/12518/12326/15978/12501/12775/12557/14460/18985/21947/17068/22780/16818/272382/210757/12502/12482/67596/14063/13813/16205/16842/21414/14357/20304/12500/58208/16182/15001/12525/22637/14462/16159/21940/22165/234695/14012/14370/12578/57757/57765/15985/57816/21946/20230/67122/110168/18762/12504/16364/14025/77727/14634/240873/27218/20737/54698/74511/19885/13655/235320/12487/21417/234836/16184/14960/20377/16416/108723/14961/19659/16847/14582/21949/12520/17863/100038862/17311/16149/12349/16431/237625/14734/72147/30936/20668/12769/18750/16183/12522/12043/66058/83554/18987/65963/17260/70747/14118/100201/13866/17221/20130/13024/16768/93675/381319/26365/17305/16189/26564/30925/16362/243910/19883/14456/12159/321019/545645/12398/14256/108655/238377/14347/13653/22041
GO:0050851	antigen receptor-mediated signaling pathway	144	0.648052222190955	1.71414186532336	1.91955584173099e-08	2.16487507830421e-05	2.00805746896027e-05	1575	tags=27%, list=11%, signal=24%	78473/12478/12143/16428/12518/15978/12501/12775/20400/16818/210757/240754/12482/67596/21838/77647/22637/14462/22165/328795/234695/15985/225825/54215/12483/20737/12487/195564/14525/108723/12503/12520/100038862/102639802/56792/101540/12169/547431/12043
GO:0050863	regulation of T cell activation	289	0.571108390953148	1.53710350863415	4.9877861380837e-08	4.687687672109e-05	4.34812444212946e-05	2082	tags=30%, list=15%, signal=26%	18782/252838/72049/15978/12501/16963/12775/54390/16797/21947/12511/16818/240754/170780/67596/16842/21838/21414/14357/20304/18761/100043314/15001/278180/22637/14462/16159/71228/21940/208154/234695/12507/12578/57765/54167/67122/75863/18762/15205/12504/14634/24099/54215/240873/170786/27218/20737/54698/13482/19885/13655/235320/12487/21417/16184/14960/108723/14961/16000/12520/17863/13643/16149/14714/30936/20668/50931/58205/547431/16183/12522/193385/13866/17221/16408/13024/16768/109594/93675/16161/26365/13848/16189/434215/15930/16362/243910/12159
GO:0030217	T cell differentiation	249	0.582629562202424	1.56445193587522	5.93097249245203e-08	4.77782198356243e-05	4.43172967142769e-05	2264	tags=30%, list=16%, signal=26%	12458/18782/252838/16428/15978/12501/12775/16818/210757/12502/67596/13813/16205/16842/21414/14357/12500/58208/16182/15001/12525/22637/14462/16159/21940/22165/234695/14012/14370/12578/57765/20230/67122/110168/18762/12504/16364/14025/14634/240873/20737/54698/19885/13655/235320/12487/21417/16184/14960/108723/16847/21949/17863/100038862/16149/30936/20668/12769/16183/12522/12043/13866/17221/13024/16768/16189/30925/16362/243910/19883/12159/321019/108655/14347/13653
GO:0051249	regulation of lymphocyte activation	399	0.546777985090748	1.47707177333723	9.28075477017033e-08	6.54177201862381e-05	6.06790400697057e-05	2082	tags=26%, list=15%, signal=23%	12478/18782/252838/72049/12143/15978/12501/16963/12775/54390/16797/21947/22780/69816/12511/16818/240754/170780/27278/67596/16842/21838/21414/14357/243958/20304/18761/100043314/15001/278180/22637/14462/16159/71228/21940/208154/108995/234695/12507/12578/57757/57765/54167/242248/21946/67122/75863/18762/15205/12504/14634/24099/54215/240873/170786/27218/17480/12483/20737/54698/13482/19885/13655/235320/12487/21417/16184/14960/20377/108723/14961/16000/12520/17863/13643/22163/16149/14714/30936/20668/50931/58205/547431/16183/12522/12043/193385/17260/13866/17221/16408/13024/16768/109594/93675/16161/26365/13848/16189/434215/15930/16362/243910/14456/12159
GO:0002429	immune response-activating cell surface receptor signaling pathway	170	0.618649910254987	1.6477816656118	1.08983314553999e-07	6.82841011966664e-05	6.33377883062946e-05	1575	tags=25%, list=11%, signal=22%	78473/12478/12143/16428/12518/15978/12501/12775/20400/243655/16818/210757/240754/12482/67596/21838/77647/22637/243864/14462/22165/328795/234695/15985/225825/27007/54215/12483/20737/12487/195564/14525/108723/12503/12520/100038862/102639802/56792/101540/12169/547431/12043
GO:0002757	immune response-activating signal transduction	171	0.615207489718673	1.63861047571809	2.02093021210947e-07	0.000113960254660853	0.000105705286568126	1575	tags=25%, list=11%, signal=22%	78473/12478/12143/16428/12518/15978/12501/12775/20400/243655/16818/210757/240754/12482/67596/21838/77647/22637/243864/14462/22165/328795/234695/15985/225825/27007/54215/12483/20737/12487/195564/14525/108723/12503/12520/100038862/102639802/56792/101540/12169/547431/12043
