GO.ID	Description	setSize	enrichmentScore	NES	pvalue	p.adjust	qvalue	rank	leading_edge	core_enrichment
GO:0016072	rRNA metabolic process	210	-0.451760540025311	-1.86435805084204	2.78243735049361e-09	1.57986792761027e-05	1.45594695466355e-05	4823	tags=67%, list=34%, signal=45%	14000/214627/68327/52513/448850/27993/106338/74035/216987/53414/60321/69663/67390/101122/66254/213773/68077/230082/18148/30946/70285/66580/59028/234374/15278/71340/78651/18114/14300/109075/67222/19989/227522/70683/68966/66229/20826/213895/215193/74778/67115/57444/110109/102462/70930/66481/68533/67045/68979/245474/216156/14791/66409/64934/105372/57750/71990/67994/27998/59050/72171/67025/13871/56095/69072/104662/68544/54127/98956/20088/20068/20054/66138/57315/67949/12181/66489/67619/69237/108707/73674/66161/107071/110816/72344/66583/57316/215194/17089/78581/77591/66878/66467/67223/72515/67936/16418/73736/27966/19896/20104/19941/94061/14113/56200/20115/21771/208366/67920/27176/57808/100503670/117599/107094/74097/20044/20085/68147/223499/67842/19942/66362/20055/18813/20116/67239/217109/69902/69713/100019/217431/59014/18150/105083/67973/52530/234344/271842/320790/72462/217995
GO:0006364	rRNA processing	203	-0.45483473538881	-1.86238473294052	5.96767520999748e-09	1.69422299211828e-05	1.56133228783671e-05	4812	tags=68%, list=34%, signal=45%	214627/68327/52513/448850/27993/106338/74035/216987/53414/60321/69663/67390/101122/66254/213773/68077/230082/18148/30946/70285/66580/59028/234374/15278/71340/78651/18114/14300/109075/67222/19989/227522/70683/68966/66229/20826/213895/215193/74778/67115/57444/110109/102462/70930/66481/68533/67045/68979/245474/216156/14791/66409/64934/105372/57750/71990/67994/27998/59050/72171/67025/13871/56095/69072/104662/54127/98956/20088/20068/20054/66138/57315/67949/12181/66489/67619/69237/108707/73674/66161/107071/110816/72344/66583/57316/215194/17089/78581/77591/66878/66467/67223/72515/67936/16418/73736/27966/19896/20104/19941/94061/14113/56200/20115/21771/208366/67920/27176/57808/100503670/117599/107094/74097/20044/20085/68147/223499/67842/19942/66362/20055/18813/20116/67239/217109/69902/69713/100019/217431/59014/18150/67973/52530/234344/271842/320790/72462/217995
GO:0042273	ribosomal large subunit biogenesis	71	-0.581483732841453	-2.15145008180431	1.24456327283237e-06	0.00235554342104741	0.00217078036114026	3996	tags=80%, list=28%, signal=58%	224619/68077/18148/70285/19989/66229/75619/20826/75593/11837/52521/67115/110109/234549/66409/64934/57750/59050/67025/56095/69072/235036/28126/67949/12181/66489/69237/225215/107071/27367/67223/269261/16418/19988/268449/19896/231452/66164/67832/19941/94061/71986/67920/27176/57808/100503670/110954/67671/68193/67239/68083/69902/66448/217011/100019/59014/52530
GO:0032496	response to lipopolysaccharide	228	-0.380099544734678	-1.59484362286043	3.29988141927552e-06	0.00468418167466159	0.00431676593032068	1662	tags=27%, list=12%, signal=24%	22034/171285/240354/14870/77134/216799/18578/20778/246256/21803/12142/216161/56615/217304/56722/17874/13617/414084/83433/22259/12608/102626/109934/66824/22038/19401/110279/13035/16175/19222/20202/11433/215257/60533/257632/19370/17319/20296/11421/16803/50701/16365/16162/238871/12457/20201/20311/56066/19217/27007/19225/58205/19368/19369/17002/22164/66107/57349/14581/20568/330122/11628
GO:0042274	ribosomal small subunit biogenesis	72	-0.543271397072179	-1.99650493408883	5.50022146080859e-06	0.00624605149089423	0.00575612650140621	4409	tags=78%, list=31%, signal=54%	213773/18148/30946/59028/71340/78651/67222/57294/68966/50529/20826/213895/215193/74778/66481/67045/68979/67994/13871/104662/54127/98956/20088/20068/20054/57315/67941/67619/75617/108707/110816/215194/78581/66878/66467/73736/20103/20104/20115/21771/208366/117599/67671/16898/20044/20085/353258/67097/223499/67842/20055/16785/20116/217431/59014/217995
GO:0007423	sensory organ development	417	0.489188323284346	1.45524331416056	8.54481952027359e-06	0.00808624753935224	0.00745198207636492	2360	tags=32%, list=17%, signal=27%	14180/21380/19888/229791/19434/330222/12879/14182/14623/13649/12292/19242/14234/19274/108013/54352/242509/80837/12288/14634/14633/16535/20682/16000/12156/83453/235312/12577/19130/68588/230824/259172/22141/329941/329628/54670/77579/12628/20378/18109/234267/654812/26563/17536/11668/16779/18591/17537/16324/11941/20204/109205/73660/12826/18091/244152/22431/74023/14107/18595/17364/17910/11826/14368/15205/234740/58998/73230/12831/114142/12837/21916/11481/50530/12832/13614/54485/21393/17150/21407/16476/330409/12962/11423/18587/15111/29817/328789/232174/320398/16918/18596/29819/15451/80720/50769/14461/17701/16600/19126/21417/110789/26564/50524/270120/13838/80857/76365/442801/98711/53885/21385/13388/70673/233651/19378/18516/24063/100503041/27078/12161/71461/15312/21813/17300/17173/14365/224796/21808/20475/236266/12260/16450
GO:0030490	maturation of SSU-rRNA	49	-0.612287371883346	-2.12411994670541	1.43461610766346e-05	0.0105479509281056	0.00972059547720898	4808	tags=86%, list=34%, signal=57%	68327/216987/53414/213773/30946/59028/71340/78651/67222/68966/20826/213895/215193/66481/67045/68979/67994/13871/104662/54127/98956/57315/67619/108707/110816/215194/78581/66878/66467/73736/21771/208366/117599/20044/20085/223499/67842/20055/20116/217431/59014/217995
GO:0048645	animal organ formation	45	0.716026986383838	1.81721229094388	1.48615018360065e-05	0.0105479509281056	0.00972059547720898	2509	tags=53%, list=18%, signal=44%	21380/14182/14186/268902/21388/11835/12166/14634/14633/12156/14465/22431/15205/15111/17260/240725/98711/22414/24063/21813/12006/14275/12159/17684
GO:0007600	sensory perception	323	0.500090893572864	1.48155533319075	1.68947837770289e-05	0.0106587313651078	0.00982268656790769	2430	tags=35%, list=17%, signal=30%	21834/12971/21380/19888/12310/230085/258503/101772/243931/259066/16490/257962/20269/13429/11554/218518/258154/14182/110326/17967/75124/14623/12061/70355/258463/319734/26557/16513/71520/12286/54352/24046/11689/258989/545205/65962/67888/16000/16398/259172/20512/22141/217143/54670/20583/12628/56226/19739/26563/16779/11555/224224/11941/17022/216856/109205/73660/259097/114774/74023/20315/100038570/70335/17364/17910/11826/14615/18049/13850/13614/54485/12962/18587/328789/17984/15451/258783/56843/259144/50769/20496/20356/110789/14062/12842/76365/18588/98711/319552/227357/235636/52028/21926/20720/269629/100503041/258508/54615/19224/104111/64242/14409/20719/19153/224796/74653/236266/12491/64337/16450/12297/12290/18390/14814
GO:0060421	positive regulation of heart growth	42	0.719112566280005	1.80982486738785	2.12930508179521e-05	0.0112664763759047	0.0103827615477322	1825	tags=40%, list=13%, signal=35%	14180/11554/14182/17967/21388/12166/238161/22762/57246/16000/19130/12154/14465/22431/13614/17260/21385
GO:0030198	extracellular matrix organization	237	0.520020411078491	1.52525291850274	2.26608304521733e-05	0.0112664763759047	0.0103827615477322	2290	tags=42%, list=16%, signal=36%	18816/15117/16007/213945/66548/11785/114249/14186/14234/237360/77794/20319/18858/170441/107581/269959/20682/12818/17386/23876/329941/13717/237759/12827/407800/18073/373864/654812/12819/50706/16779/74199/64074/216725/14089/17022/240913/246228/14758/69675/12826/22431/23948/18595/17390/12825/14086/219151/26561/14083/16949/14114/66180/12831/12837/101401/22370/12832/53867/17388/17392/21407/14219/12843/56429/58994/74025/170721/77739/15530/11803/235130/15451/16777/81877/240047/14115/20356/234356/320712/12842/78892/240725/208177/21926/94352/14230/11568/11504/12406/23794/13805/18214/17300/241327/53614/23871/67896/21808
